"Field1","Field2_Text","Field3"
"The bridge between suicide and life | Kevin Briggs                                                                                                                              Verified            2.8M views5 years ago","The bridge between suicide and life | Kevin Briggs","2.8M views"
"There's more to life than being happy | Emily Esfahani Smith                                                                                                                              Verified            2.8M views2 years ago","There's more to life than being happy | Emily Esfahani Smith","2.8M views"
"Imaging at a trillion frames per second | Ramesh Raskar                                                                                                                              Verified            2.8M views7 years ago","Imaging at a trillion frames per second | Ramesh Raskar","2.8M views"
"What you don't know about marriage | Jenna McCarthy                                                                                                                              Verified            2.7M views7 years ago","What you don't know about marriage | Jenna McCarthy","2.7M views"
"What it's like to be a Muslim in America | Dalia Mogahed                                                                                                                              Verified            2.7M views3 years ago","What it's like to be a Muslim in America | Dalia Mogahed","2.7M views"
"Why we have too few women leaders | Sheryl Sandberg                                                                                                                              Verified            2.7M views8 years ago","Why we have too few women leaders | Sheryl Sandberg","2.7M views"
"Can we build AI without losing control over it? | Sam Harris                                                                                                                              Verified            2.7M views3 years ago","Can we build AI without losing control over it? | Sam Harris","2.7M views"
"Why 30 is not the new 20 | Meg Jay                                                                                                                              Verified            2.7M views6 years ago","Why 30 is not the new 20 | Meg Jay","2.7M views"
"How childhood trauma affects health across a lifetime | Nadine Burke Harris                                                                                                                              Verified            2.7M views4 years ago","How childhood trauma affects health across a lifetime | Nadine Burke Harris","2.7M views"
"Why our IQ levels are higher than our grandparents' | James Flynn                                                                                                                              Verified            2.7M views6 years ago","Why our IQ levels are higher than our grandparents' | James Flynn","2.7M views"
"The mind behind Linux | Linus Torvalds                                                                                                                              Verified            2.6M views3 years ago","The mind behind Linux | Linus Torvalds","2.6M views"
"Why domestic violence victims don't leave | Leslie Morgan Steiner                                                                                                                              Verified            2.6M views6 years ago","Why domestic violence victims don't leave | Leslie Morgan Steiner","2.6M views"
"5 ways to listen better | Julian Treasure                                                                                                                              Verified            2.6M views8 years ago","5 ways to listen better | Julian Treasure","2.6M views"
"I am the son of a terrorist. Here's how I chose peace | Zak Ebrahim                                                                                                                              Verified            2.6M views5 years ago","I am the son of a terrorist. Here's how I chose peace | Zak Ebrahim","2.6M views"
"How movies teach manhood | Colin Stokes                                                                                                                              Verified            2.5M views6 years ago","How movies teach manhood | Colin Stokes","2.5M views"
"Homeopathy, quackery and fraud | James Randi                                                                                                                              Verified            2.5M views9 years ago","Homeopathy, quackery and fraud | James Randi","2.5M views"
"Optical illusions show how we see | Beau Lotto                                                                                                                              Verified            2.5M views10 years ago","Optical illusions show how we see | Beau Lotto","2.5M views"
"The secret US prisons you've never heard of before | Will Potter                                                                                                                              Verified            2.5M views4 years ago","The secret US prisons you've never heard of before | Will Potter","2.5M views"
"Make love, not porn (Adult content) | Cindy Gallop                                                                                                                              Verified            2.5M views9 years ago","Make love, not porn (Adult content) | Cindy Gallop","2.5M views"
"6 ways mushrooms can save the world | Paul Stamets                                                                                                                              Verified            2.5M views11 years ago","6 ways mushrooms can save the world | Paul Stamets","2.5M views"
"Making sense of string theory | Brian Greene                                                                                                                              Verified            2.4M views11 years ago","Making sense of string theory | Brian Greene","2.4M views"
